#http://www.17500.cn/ssq/all.php
#http://www.17500.cn/ssq/details.php?issue=2013020
2013-02-21(2013020) 2013-02-19(2013019) 2013-02-17(2013018) 2013-02-07(2013017)
2010-05-27(2010060) 2010-05-25(2010059) 2010-05-23(2010058) 2010-05-20(2010057)

2010-05-18(2010056) 2010-05-16(2010055) 2010-05-13(2010054) 2010-05-11(2010053)

2010-05-09(2010052) 2010-05-06(2010051) 2010-05-04(2010050) 2010-05-02(2010049)

2010-04-29(2010048) 2010-04-27(2010047) 2010-04-25(2010046) 2010-04-22(2010045)

2010-04-20(2010044) 2010-04-18(2010043) 2010-04-15(2010042) 2010-04-13(2010041)

2010-04-11(2010040) 2010-04-08(2010039) 2010-04-06(2010038) 2010-04-04(2010037)

2010-04-01(2010036) 2010-03-30(2010035) 2010-03-28(2010034) 2010-03-25(2010033)

2010-03-23(2010032) 2010-03-21(2010031) 2010-03-18(2010030) 2010-03-16(2010029)

2010-03-14(2010028) 2010-03-11(2010027) 2010-03-09(2010026) 2010-03-07(2010025)

2010-03-04(2010024) 2010-03-02(2010023) 2010-02-28(2010022) 2010-02-25(2010021)

2010-02-23(2010020) 2010-02-21(2010019) 2010-02-11(2010018) 2010-02-09(2010017)

2010-02-07(2010016) 2010-02-04(2010015) 2010-02-02(2010014) 2010-01-31(2010013)

2010-01-28(2010012) 2010-01-26(2010011) 2010-01-24(2010010) 2010-01-21(2010009)

2010-01-19(2010008) 2010-01-17(2010007) 2010-01-14(2010006) 2010-01-12(2010005)

2010-01-10(2010004) 2010-01-07(2010003) 2010-01-05(2010002) 2010-01-03(2010001)

2009-12-31(2009154) 2009-12-29(2009153) 2009-12-27(2009152) 2009-12-24(2009151)

2009-12-22(2009150) 2009-12-20(2009149) 2009-12-17(2009148) 2009-12-15(2009147)

2009-12-13(2009146) 2009-12-10(2009145) 2009-12-08(2009144) 2009-12-06(2009143)

2009-12-03(2009142) 2009-12-01(2009141) 2009-11-29(2009140) 2009-11-26(2009139)

2009-11-24(2009138) 2009-11-22(2009137) 2009-11-19(2009136) 2009-11-17(2009135)

2009-11-15(2009134) 2009-11-12(2009133) 2009-11-10(2009132) 2009-11-08(2009131)

2009-11-05(2009130) 2009-11-03(2009129) 2009-11-01(2009128) 2009-10-29(2009127)

2009-10-27(2009126) 2009-10-25(2009125) 2009-10-22(2009124) 2009-10-20(2009123)

2009-10-18(2009122) 2009-10-15(2009121) 2009-10-13(2009120) 2009-10-11(2009119)

2009-10-08(2009118) 2009-10-06(2009117) 2009-10-04(2009116) 2009-10-01(2009115)

2009-09-29(2009114) 2009-09-27(2009113) 2009-09-24(2009112) 2009-09-22(2009111)

2009-09-20(2009110) 2009-09-17(2009109) 2009-09-15(2009108) 2009-09-13(2009107)

2009-09-10(2009106) 2009-09-08(2009105) 2009-09-06(2009104) 2009-09-03(2009103)

2009-09-01(2009102) 2009-08-30(2009101) 2009-08-27(2009100) 2009-08-25(2009099)

2009-08-23(2009098) 2009-08-20(2009097) 2009-08-18(2009096) 2009-08-16(2009095)

2009-08-13(2009094) 2009-08-11(2009093) 2009-08-09(2009092) 2009-08-06(2009091)

2009-08-04(2009090) 2009-08-02(2009089) 2009-07-30(2009088) 2009-07-28(2009087)

2009-07-26(2009086) 2009-07-23(2009085) 2009-07-21(2009084) 2009-07-19(2009083)

2009-07-16(2009082) 2009-07-14(2009081) 2009-07-12(2009080) 2009-07-09(2009079)

2009-07-07(2009078) 2009-07-05(2009077) 2009-07-02(2009076) 2009-06-30(2009075)

2009-06-28(2009074) 2009-06-25(2009073) 2009-06-23(2009072) 2009-06-21(2009071)

2009-06-18(2009070) 2009-06-16(2009069) 2009-06-14(2009068) 2009-06-11(2009067)

2009-06-09(2009066) 2009-06-07(2009065) 2009-06-04(2009064) 2009-06-02(2009063)

2009-05-31(2009062) 2009-05-28(2009061) 2009-05-26(2009060) 2009-05-24(2009059)

2009-05-21(2009058) 2009-05-19(2009057) 2009-05-17(2009056) 2009-05-14(2009055)

2009-05-12(2009054) 2009-05-10(2009053) 2009-05-07(2009052) 2009-05-05(2009051)

2009-05-03(2009050) 2009-04-30(2009049) 2009-04-28(2009048) 2009-04-26(2009047)

2009-04-23(2009046) 2009-04-21(2009045) 2009-04-19(2009044) 2009-04-16(2009043)

2009-04-14(2009042) 2009-04-12(2009041) 2009-04-09(2009040) 2009-04-07(2009039)

2009-04-05(2009038) 2009-04-02(2009037) 2009-03-31(2009036) 2009-03-29(2009035)

2009-03-26(2009034) 2009-03-24(2009033) 2009-03-22(2009032) 2009-03-19(2009031)

2009-03-17(2009030) 2009-03-15(2009029) 2009-03-12(2009028) 2009-03-10(2009027)

2009-03-08(2009026) 2009-03-05(2009025) 2009-03-03(2009024) 2009-03-01(2009023)

2009-02-26(2009022) 2009-02-24(2009021) 2009-02-22(2009020) 2009-02-19(2009019)

2009-02-17(2009018) 2009-02-15(2009017) 2009-02-12(2009016) 2009-02-10(2009015)

2009-02-08(2009014) 2009-02-05(2009013) 2009-02-03(2009012) 2009-02-01(2009011)

2009-01-22(2009010) 2009-01-20(2009009) 2009-01-18(2009008) 2009-01-15(2009007)

2009-01-13(2009006) 2009-01-11(2009005) 2009-01-08(2009004) 2009-01-06(2009003)

2009-01-04(2009002) 2009-01-01(2009001) 2008-12-30(2008154) 2008-12-28(2008153)

2008-12-25(2008152) 2008-12-23(2008151) 2008-12-21(2008150) 2008-12-18(2008149)

2008-12-16(2008148) 2008-12-14(2008147) 2008-12-11(2008146) 2008-12-09(2008145)

2008-12-07(2008144) 2008-12-04(2008143) 2008-12-02(2008142) 2008-11-30(2008141)

2008-11-27(2008140) 2008-11-25(2008139) 2008-11-23(2008138) 2008-11-20(2008137)

2008-11-18(2008136) 2008-11-16(2008135) 2008-11-13(2008134) 2008-11-11(2008133)

2008-11-09(2008132) 2008-11-06(2008131) 2008-11-04(2008130) 2008-11-02(2008129)

2008-10-30(2008128) 2008-10-28(2008127) 2008-10-26(2008126) 2008-10-23(2008125)

2008-10-21(2008124) 2008-10-19(2008123) 2008-10-16(2008122) 2008-10-14(2008121)

2008-10-12(2008120) 2008-10-09(2008119) 2008-10-07(2008118) 2008-10-05(2008117)

2008-10-02(2008116) 2008-09-30(2008115) 2008-09-28(2008114) 2008-09-25(2008113)

2008-09-23(2008112) 2008-09-21(2008111) 2008-09-18(2008110) 2008-09-16(2008109)

2008-09-14(2008108) 2008-09-11(2008107) 2008-09-09(2008106) 2008-09-07(2008105)

2008-09-04(2008104) 2008-09-02(2008103) 2008-08-31(2008102) 2008-08-28(2008101)

2008-08-26(2008100) 2008-08-24(2008099) 2008-08-21(2008098) 2008-08-19(2008097)

2008-08-17(2008096) 2008-08-14(2008095) 2008-08-12(2008094) 2008-08-10(2008093)

2008-08-07(2008092) 2008-08-05(2008091) 2008-08-03(2008090) 2008-07-31(2008089)

2008-07-29(2008088) 2008-07-27(2008087) 2008-07-24(2008086) 2008-07-22(2008085)

2008-07-20(2008084) 2008-07-17(2008083) 2008-07-15(2008082) 2008-07-13(2008081)

2008-07-10(2008080) 2008-07-08(2008079) 2008-07-06(2008078) 2008-07-03(2008077)

2008-07-01(2008076) 2008-06-29(2008075) 2008-06-26(2008074) 2008-06-24(2008073)

2008-06-22(2008072) 2008-06-19(2008071) 2008-06-17(2008070) 2008-06-15(2008069)

2008-06-12(2008068) 2008-06-10(2008067) 2008-06-08(2008066) 2008-06-05(2008065)

2008-06-03(2008064) 2008-06-01(2008063) 2008-05-29(2008062) 2008-05-27(2008061)

2008-05-25(2008060) 2008-05-22(2008059) 2008-05-20(2008058) 2008-05-18(2008057)

2008-05-15(2008056) 2008-05-13(2008055) 2008-05-11(2008054) 2008-05-08(2008053)

2008-05-06(2008052) 2008-05-04(2008051) 2008-05-01(2008050) 2008-04-29(2008049)

2008-04-27(2008048) 2008-04-24(2008047) 2008-04-22(2008046) 2008-04-20(2008045)

2008-04-17(2008044) 2008-04-15(2008043) 2008-04-13(2008042) 2008-04-10(2008041)

2008-04-08(2008040) 2008-04-06(2008039) 2008-04-03(2008038) 2008-04-01(2008037)

2008-03-30(2008036) 2008-03-27(2008035) 2008-03-25(2008034) 2008-03-23(2008033)

2008-03-20(2008032) 2008-03-18(2008031) 2008-03-16(2008030) 2008-03-13(2008029)

2008-03-11(2008028) 2008-03-09(2008027) 2008-03-06(2008026) 2008-03-04(2008025)

2008-03-02(2008024) 2008-02-28(2008023) 2008-02-26(2008022) 2008-02-24(2008021)

2008-02-21(2008020) 2008-02-19(2008019) 2008-02-17(2008018) 2008-02-14(2008017)

2008-02-05(2008016) 2008-02-03(2008015) 2008-01-31(2008014) 2008-01-29(2008013)

2008-01-27(2008012) 2008-01-24(2008011) 2008-01-22(2008010) 2008-01-20(2008009)

2008-01-17(2008008) 2008-01-15(2008007) 2008-01-13(2008006) 2008-01-10(2008005)

2008-01-08(2008004) 2008-01-06(2008003) 2008-01-03(2008002) 2008-01-01(2008001)

2007-12-30(2007153) 2007-12-27(2007152) 2007-12-25(2007151) 2007-12-23(2007150)

2007-12-20(2007149) 2007-12-18(2007148) 2007-12-16(2007147) 2007-12-13(2007146)

2007-12-11(2007145) 2007-12-09(2007144) 2007-12-06(2007143) 2007-12-04(2007142)

2007-12-02(2007141) 2007-11-29(2007140) 2007-11-27(2007139) 2007-11-25(2007138)

2007-11-22(2007137) 2007-11-20(2007136) 2007-11-18(2007135) 2007-11-15(2007134)

2007-11-13(2007133) 2007-11-11(2007132) 2007-11-08(2007131) 2007-11-06(2007130)

2007-11-04(2007129) 2007-11-01(2007128) 2007-10-30(2007127) 2007-10-28(2007126)

2007-10-25(2007125) 2007-10-23(2007124) 2007-10-21(2007123) 2007-10-18(2007122)

2007-10-16(2007121) 2007-10-14(2007120) 2007-10-11(2007119) 2007-10-09(2007118)

2007-10-07(2007117) 2007-10-04(2007116) 2007-10-02(2007115) 2007-09-30(2007114)

2007-09-27(2007113) 2007-09-25(2007112) 2007-09-23(2007111) 2007-09-20(2007110)

2007-09-18(2007109) 2007-09-16(2007108) 2007-09-13(2007107) 2007-09-11(2007106)

2007-09-09(2007105) 2007-09-06(2007104) 2007-09-04(2007103) 2007-09-02(2007102)

2007-08-30(2007101) 2007-08-28(2007100) 2007-08-26(2007099) 2007-08-23(2007098)

2007-08-21(2007097) 2007-08-19(2007096) 2007-08-16(2007095) 2007-08-14(2007094)

2007-08-12(2007093) 2007-08-09(2007092) 2007-08-07(2007091) 2007-08-05(2007090)

2007-08-02(2007089) 2007-07-31(2007088) 2007-07-29(2007087) 2007-07-26(2007086)

2007-07-24(2007085) 2007-07-22(2007084) 2007-07-19(2007083) 2007-07-17(2007082)

2007-07-15(2007081) 2007-07-12(2007080) 2007-07-10(2007079) 2007-07-08(2007078)

2007-07-05(2007077) 2007-07-03(2007076) 2007-07-01(2007075) 2007-06-28(2007074)

2007-06-26(2007073) 2007-06-24(2007072) 2007-06-21(2007071) 2007-06-19(2007070)

2007-06-17(2007069) 2007-06-14(2007068) 2007-06-12(2007067) 2007-06-10(2007066)

2007-06-07(2007065) 2007-06-05(2007064) 2007-06-03(2007063) 2007-05-31(2007062)

2007-05-29(2007061) 2007-05-27(2007060) 2007-05-24(2007059) 2007-05-22(2007058)

2007-05-20(2007057) 2007-05-17(2007056) 2007-05-15(2007055) 2007-05-13(2007054)

2007-05-10(2007053) 2007-05-08(2007052) 2007-05-06(2007051) 2007-05-03(2007050)

2007-05-01(2007049) 2007-04-29(2007048) 2007-04-26(2007047) 2007-04-24(2007046)

2007-04-22(2007045) 2007-04-19(2007044) 2007-04-17(2007043) 2007-04-15(2007042)

2007-04-12(2007041) 2007-04-10(2007040) 2007-04-08(2007039) 2007-04-05(2007038)

2007-04-03(2007037) 2007-04-01(2007036) 2007-03-29(2007035) 2007-03-27(2007034)

2007-03-25(2007033) 2007-03-22(2007032) 2007-03-20(2007031) 2007-03-18(2007030)

2007-03-15(2007029) 2007-03-13(2007028) 2007-03-11(2007027) 2007-03-08(2007026)

2007-03-06(2007025) 2007-03-04(2007024) 2007-03-01(2007023) 2007-02-27(2007022)

2007-02-25(2007021) 2007-02-15(2007020) 2007-02-13(2007019) 2007-02-11(2007018)

2007-02-08(2007017) 2007-02-06(2007016) 2007-02-04(2007015) 2007-02-01(2007014)

2007-01-30(2007013) 2007-01-28(2007012) 2007-01-25(2007011) 2007-01-23(2007010)

2007-01-21(2007009) 2007-01-18(2007008) 2007-01-16(2007007) 2007-01-14(2007006)

2007-01-11(2007005) 2007-01-09(2007004) 2007-01-07(2007003) 2007-01-04(2007002)

2007-01-02(2007001) 2006-12-31(2006154) 2006-12-28(2006153) 2006-12-26(2006152)

2006-12-24(2006151) 2006-12-21(2006150) 2006-12-19(2006149) 2006-12-17(2006148)

2006-12-14(2006147) 2006-12-12(2006146) 2006-12-10(2006145) 2006-12-07(2006144)

2006-12-05(2006143) 2006-12-03(2006142) 2006-11-30(2006141) 2006-11-28(2006140)

2006-11-26(2006139) 2006-11-23(2006138) 2006-11-21(2006137) 2006-11-19(2006136)

2006-11-16(2006135) 2006-11-14(2006134) 2006-11-12(2006133) 2006-11-09(2006132)

2006-11-07(2006131) 2006-11-05(2006130) 2006-11-02(2006129) 2006-10-31(2006128)

2006-10-29(2006127) 2006-10-26(2006126) 2006-10-24(2006125) 2006-10-22(2006124)

2006-10-19(2006123) 2006-10-17(2006122) 2006-10-15(2006121) 2006-10-12(2006120)

2006-10-10(2006119) 2006-10-08(2006118) 2006-10-05(2006117) 2006-10-03(2006116)

2006-10-01(2006115) 2006-09-28(2006114) 2006-09-26(2006113) 2006-09-24(2006112)

2006-09-21(2006111) 2006-09-19(2006110) 2006-09-17(2006109) 2006-09-14(2006108)

2006-09-12(2006107) 2006-09-10(2006106) 2006-09-07(2006105) 2006-09-05(2006104)

2006-09-03(2006103)
#2006年1～8月开奖数据
2006-08-31(2006102) 2006-08-29(2006101)
2006-08-27(2006100) 2006-08-24(2006099) 2006-08-22(2006098) 2006-08-20(2006097)

2006-08-17(2006096) 2006-08-15(2006095) 2006-08-13(2006094) 2006-08-10(2006093)

2006-08-08(2006092) 2006-08-06(2006091) 2006-08-03(2006090) 2006-08-01(2006089)

2006-07-30(2006088) 2006-07-27(2006087) 2006-07-25(2006086) 2006-07-23(2006085)

2006-07-20(2006084) 2006-07-18(2006083) 2006-07-16(2006082) 2006-07-13(2006081)

2006-07-11(2006080) 2006-07-09(2006079) 2006-07-06(2006078) 2006-07-04(2006077)

2006-07-02(2006076) 2006-06-29(2006075) 2006-06-27(2006074) 2006-06-25(2006073)

2006-06-22(2006072) 2006-06-20(2006071) 2006-06-18(2006070) 2006-06-15(2006069)

2006-06-13(2006068) 2006-06-11(2006067) 2006-06-08(2006066) 2006-06-06(2006065)

2006-06-04(2006064) 2006-06-01(2006063) 2006-05-30(2006062) 2006-05-28(2006061)

2006-05-25(2006060) 2006-05-23(2006059) 2006-05-21(2006058) 2006-05-18(2006057)

2006-05-16(2006056) 2006-05-14(2006055) 2006-05-11(2006054) 2006-05-09(2006053)

2006-05-07(2006052) 2006-05-04(2006051) 2006-05-02(2006050) 2006-04-30(2006049)

2006-04-27(2006048) 2006-04-25(2006047) 2006-04-23(2006046) 2006-04-20(2006045)

2006-04-18(2006044) 2006-04-16(2006043) 2006-04-13(2006042) 2006-04-11(2006041)

2006-04-09(2006040) 2006-04-06(2006039) 2006-04-04(2006038) 2006-04-02(2006037)

2006-03-30(2006036) 2006-03-28(2006035) 2006-03-26(2006034) 2006-03-23(2006033)

2006-03-21(2006032) 2006-03-19(2006031) 2006-03-16(2006030) 2006-03-14(2006029)

2006-03-12(2006028) 2006-03-09(2006027) 2006-03-07(2006026) 2006-03-05(2006025)

2006-03-02(2006024) 2006-02-28(2006023) 2006-02-26(2006022) 2006-02-23(2006021)

2006-02-21(2006020) 2006-02-19(2006019) 2006-02-16(2006018) 2006-02-14(2006017)

2006-02-12(2006016) 2006-02-09(2006015) 2006-02-07(2006014) 2006-02-05(2006013)

2006-01-26(2006012) 2006-01-24(2006011) 2006-01-22(2006010) 2006-01-19(2006009)

2006-01-17(2006008) 2006-01-15(2006007) 2006-01-12(2006006) 2006-01-10(2006005)

2006-01-08(2006004) 2006-01-05(2006003) 2006-01-03(2006002) 2006-01-01(2006001)

2005-12-29(2005153) 2005-12-27(2005152) 2005-12-25(2005151) 2005-12-22(2005150)
2005-12-20(2005149) 2005-12-18(2005148) 2005-12-15(2005147) 2005-12-13(2005146)

2005-12-11(2005145) 2005-12-08(2005144) 2005-12-06(2005143) 2005-12-04(2005142)

2005-12-01(2005141) 2005-11-29(2005140) 2005-11-27(2005139) 2005-11-24(2005138)

2005-11-22(2005137) 2005-11-20(2005136) 2005-11-17(2005135) 2005-11-15(2005134)

2005-11-13(2005133) 2005-11-10(2005132) 2005-11-08(2005131) 2005-11-06(2005130)

2005-11-03(2005129) 2005-11-01(2005128) 2005-10-30(2005127) 2005-10-27(2005126)

2005-10-25(2005125) 2005-10-23(2005124) 2005-10-20(2005123) 2005-10-18(2005122)

